год,тема ,описание полное 
2020,Повышение качества и производительности в процессе индустриального жилищного строительства путем внедрения современных технологий на примере ООО ХХХХ,"ООО XXXX является дочерним предприятием группы компаний ПАО XXXX.
Основными сферами деятельности является новое жилищное многоэтажное строительство, реконструкция и новое строительство производственных зданий и сооружений, а также благоустройство и озеленение общественных пространств. На сегодняшний день на предприятии трудятся 50 человек основного штата. Объемы выручки неуклонно растут каждый год, так по данным ресурса «Rusprofile.ru» объемы выручки: 2017 год – 95 млн.руб., 2018 год – 115 млн.руб.,
2019 год – 177 млн.руб. Ожидаемая выручка за 2020 год более 220 млн.руб. Автор данной работы является руководителем директором ООО XXXX. Проблемой предприятия, на решение которой и направлена данная дипломная работа, является недостаточная прибыльность компании, вызванная низкой компетентностью штатного персонала, срывами сроков производства работ и низкой производительностью.
Для реализации планов предприятия, необходимо произвести оптимизацию бизнес-процессов, корректировку планирования работ, модернизацию систем производственных циклов.
Решением вышеизложенных проблем для ООО XXXX является повышение качества и производительности ООО XXXX за счет оптимизации системы работы с поставщиками и применение современных методов и технологий.
В проекте будут задействованы специалисты компании. Ожидаемый эффект данного проекта это сокращение издержек, сохранение или сокращение сроков производства работ, и, как следствие обеспечение необходимых темпов и объемов продаж возводимого жилья. На начальном этапе анализируется отрасль компании и существующая рыночная ситуация. Анализ ближнего окружения посредством инструмента 5 сил Портера. Анализ внутренней среды включает в себя PESTEL анализ предприятия, определение детализации проблемы посредством рыбы Исикавы.
Для реализации проекта описана базовая проектная документация, включающая устав, описание рисков, управления ими, план работ и календарный план внедрения проекта с помощью программного обеспечения MS Project.
"
2020,"Разработка стратегии развития уральского дизель-моторного завода, за счет запуска серийного производства нового семейства двигателей ДМ-185","Уральский дизель-моторный завод –  ведущее предприятие на рынке дизелестроения РФ. Специализация: дизельные двигатели мощностью от 500 до 4000 кВт для локомотивостроения, карьерной техники, судостроения, распределенной энергетики и промышленного привода. На предприятии работает 700человек.
В текущем году завод принял участие в проекте по повышению производительности труда совместно с РЦК Свердловской области, благодаря этому проекту производительность труда была увеличена в три раза.
Автор проекта на момент поступления на президентскую программу занимал должность начальника сборочного производства, на момент защиты занимает должность директора по планированию цепей и поставок включающую в себя в том числе:
разработку программ перспективного развития предприятия
участие в разработке и реализации инвестиционных проектов
В проектном разделе данной работы будет разработан бизнес план по созданию новых модификаций серийных дизельных двигателей семейства ДМ-185. Благодаря реализации данного проекта по созданию новых модификаций востребованного на рынке продукта предполагается повысить доходность предприятия и захватить новые рынки.
"
2020,Стратегия снижения издержек компании ООО XXXX на основе внедрения программного обеспечения на предприятии ,"ООО XXXXX российский лидер в производстве шовного хирургического материала, организация начала свою деятельность в 1993 году, на базе НПО XXXX, как самостоятельное предприятие развивается с 1999 года. 
Основные направления деятельности: обеспечение лечебных учреждений Свердловской области и России отечественным шовным материалом.
          Предприятие малое, численность работников порядка 78 человек.        Организационная структура линейно-функциональная.
Характеристика рынка шовного хирургического материала показывает, что объем российского рынка в 2019 году составил 21%.
В России работают порядка 15 компаний, доля рынка ООО XXXXX в 2019 году составила 14%.
Из-за темпов экономического и технического прогресса, компания в своем развитии подошла к рубежу необходимости внедрения автоматизированной системы на предприятии.
Автоматизация бизнес-процессов является весьма затратным мероприятием. Так же необходимо понимать то, что информационная система это прежде всего, инструмент достижения целей, внедрение любой информационной системы должно отталкиваться от потребностей, проблем и сложностей, существующих в компании.
Ежегодный рост объемов выпуска продукции приводит к увеличению нагрузки на все этапы бизнес-процессов, и ведут к увеличению различного рода издержкам. Отсутствие единой автоматизированной информационной площадки между подразделениями, приводит к большому объем бумажного документооборота, ошибкам в работе, несвоевременной и неточной передаче информации между подразделениями, некачественному планированию и учету при производстве, а также к сложному процессу контроля остатков сырья, материалов, комплектующих на складах и их сроков годности.
         Для реализации цели по снижению издержек на предприятии оптимальным вариантом является автоматизация системы учета складских запасов, системы производственного учета и планирования, системы обработки данных и внутренних коммуникаций между подразделениями, что в дальнейшем приведет к более эффективной работе компании и ее развитию.
Автор данной работы является начальник производства ООО XXXXX, назначенный директором ООО XXXXX для управления проектом, являющимся основой аттестационной работы.
          В проекте будут задействованы специалисты компании.
Ожидаемый эффект данного проекта это сокращение издержек на 60% и увеличение объема выпускаемой продукции на 10% к 26.12.2021году. 
На начальном этапе анализируется внутренняя среда предприятия, включающая в себя финансовый анализ, проведение SNW-анализа, составление диаграммы причинно-следственного анализа (Исикавы), определение корневой проблемы по средствам карты проблемного поля, приведенная в карту целей. 
Для реализации проекта описана базовая проектная документация, включающая устав, описание рисков, управления ими, календарный план внедрения проекта с помощью программного обеспечения Project Expert 7
Дата начала реализации проекта 01.10.2020г., срок завершения проекта 26.12.2021г.
"
2020,Стратегия развития направления ХХХХ при решении задач национальных проектов по импортозамещению,"Стратегия развития направления XXXX при решении задач национальных проектов по импортозамещению.
ЗАО «НПП XXXX — инжиниринговая и производственная компания, ведущий разработчик высокотехнологичных систем и установок для предприятий машиностроительной отрасли, черной и цветной металлургии, промышленной экологии. Мы создаем уникальное оборудование и услуги, позволяющие повышать эффективность производства.
Автор проекта занимает должность главного инженера проектов.
Проект направлен на развитие промышленной продукции ""Печи нагрева/термообработки"" в Свердловской области и Российской Федерации для реализации национальных проектов и комплексного плана модернизации магистральной инфраструктуры Российской Федерации до 2024 в программе ХХХХ.
Актуальность проекта подтверждается положительным заключением и регистрацией No 603/2020 в перечне современных технологий Государственной информационной системы промышленности МИНПРОМТОРГ РОССИИ https://gisp.gov.ru/
Цель проекта:
1. Создание энергоэффективной технологии системы нагрева и модели математического управления с коррекцией по температуре садки термических / нагревательных печей.
2. Внедрение концепции цифрового конструирования и изготовления промышленных печей в срок до 29.12.2023 года.
3. Сокращение вредных выбросов CO2, NOx в два раза от требований ГОСТ Р 50591-201 в продуктах сгорания; сокращение расхода условного топлива на 40% и угара металла на 45%.
4. Период окупаемости не более 5 лет.
"
2020,Разработка стратегии развития предприятия посредством вывода на рынок новой группы продукции – полутвердых сыров группы Гауда,"Выпускная аттестационная работа, выполнена на базе ООО XXXX       
Компания УГМК-Агро занимается производством и продажей молочной продукции на рынке Свердловской области.
В 2016 году, руководством компании принято важное стратегическое решение о создании на базе ВПМЗ цеха по производству мягких сыров, для чего была реконструирована ферма в п. Тепличное и привезено из Франции 1 000 коз альпийской породы. 
В качестве одного из основополагающих принципов работы компании заложен принцип натуральности выпускаемой продукции и сохранения традиционных технологий производства. 
Компания вертикально интегрирована и имеет три собственных фермы, что гарантирует стабильность поставок и качество сырья-молока. Текущие производственные мощности не позволяют переработать весь объем сырья-молока, в связи, с чем возникла необходимость развития производства. К реализации предложен проект строительства завода по производству полутвердых сыров.
Методические основы изучения объекта исследования широко представлены с точки зрения теоретической и практической разработки. Информационной базой для разработки портфеля проектов XXX послужили полученные в рамках обучения знания, научная литература, освещающая вопросы принципов бизнес-планирования и инструментов, электронные материалы, размещенные на сайтах в Интернет, отчетность XXXX за период с 2018 по 2020 гг., а также опыт TOP-менеджеров и собственников компании. 
В рамках проекта проведен глубокий анализ внешней и внутренней среды предприятия, по итогам которого определены возможности и угрозы, а также сильные и слабые стороны компании. На основе полученных данных, посредством SWOT-анализа разработан портфель потенциальных проектов, который впоследствии проранжирован с учетом целей стейкхолдеров. Изучение рынка полутвердых сыров позволило разработать маркетинг-микс, определив продукт и перейти к расчету бизнес-плана по проекту. 
В результате разработки бизнес-плана получены показатели, говорящие о привлекательности проекта с точки зрения эффективности инвестиций. Проект требует вложений объемом 1 514 млн. руб. Срок окупаемости проекта составит 6 лет 8 месяцев. Расчет рисков показал устойчивость проекта к изменениям внешней среды. 
Реализация данного проекта позволит увеличить прибыль на 600 млн. руб. в год, увеличить долю рынка и повысить финансовую устойчивость компании.
"
2020,"ХХХХ ОЦМ на основе запуска производства по переработке отходов, бедного первичного и вторичного сырья содержащего драгоценные металлы"".","АО ХХХХ является старейшим предприятием российской отрасли драгоценных металлов, заложившим основы отечественного аффинажного производства. Предприятие оказывает полный комплекс работ по аффинажу, переработке и изготовлению промышленных изделий из золота, серебра и металлов платиновой группы. Среди постоянных партнеров АО ХХХХ  – 1200 крупных предприятий России и зарубежья. Номенклатура продукции насчитывает более 300 000 видов изделий из драгоценных металлов и сплавов производственного назначения. Основными потребителями продукции являются предприятия атомной, химической, приборостроительной отрасли.
Автор данной работы является начальник участка выпуска заготовок. В административном подчинении находится 38 человек, включая ИТР. На предприятии  выполняет обязанности по руководству, организации производственного процесса, контроля, анализа текущей деятельности участка.
В настоящей работе проведен анализ внутренней и внешней среды компании, результаты обработаны в SWOT/SWOT8. Определена стратегия предприятия при реализации проекта производства по переработке отходов, бедного первичного и вторичного сырья содержащего драгоценные металлы, рассчитан экономический эффект.
На основании выбранной стратегии разработан бизнес-план с использованием программы Project Expert, выполнен расчет плана продаж, операционного плана, финансовых показателей, периода окупаемости, проведен анализ рисков. 
Проведенные расчеты показали  высокую эффективность и привлекательность проекта: 
Срок окупаемости PB – 11 месяцев 
Внутренняя норма рентабельности IRR – 18,21% 
Чистый приведенный доход, NPV – 97,3 млн. рублей за цикл.
Анализ отчетов показывает, что проект окупаемый и весьма эффективный.
Реализация данного проекта позволить предприятию увеличить объемы производства ДМ и изделий из них, увеличить прибыль предприятия за счет не только продажи металла, а также оказания услуги полного цикла переработки от бедного сырья до определенной готовой продукции. Для региона этот проект даст возможность появлению и развитию смежных производств по сбору, обогащению и первичной подготовки бедного сырья, создания рабочих мест, в том числе высококвалифицированных специалистов, улучшения экологической обстановки, создания определенного имиджа как региона переработчика отходов, бедного сырья содержащего драгоценные металлы.
"
2020,Стратегия повышения качества клиентского сервиса Свердловского филиала АО ХХХХ за счет его цифровой трансформации ,"Свердловский филиал ОАО ХХХХ является крупнейшей энергоснабжающей организацией и имеет статус Гарантирующего поставщика на территории Свердловской области. Общая площадь обслуживаемой территории - 194,8 тыс. км2 (территория Свердловской области). Компания начала свою деятельность как самостоятельное энергосбытовое предприятие 1 апреля 2005 года после выделения из состава ОАО XXXX.
Автор данной работы - заместитель директора Екатеринбургского отделения. Основное направление – бесперебойное и качественное обслуживание клиентов Екатеринбургского отделения Свердловского филиала ОАО ХХХХ.
Актуальной проблемой Свердловского филиала ОАО ХХХХ является – качество клиентского сервиса, который на прямую оказывает влияние на платежеспособность потребителей и, соответственно, на экономические показатели филиала, надежное и бесперебойное энергоснабжение потребителей Свердловской области.  Ключевой задачей проекта является повышение эффективности работы компании за счет улучшения качества клиентского сервиса. 
На начальном этапе исследуется и учитывается существующая рыночная ситуация и деятельность предприятия путем анализа внешней и внутренней среды. Анализ внешней среды включает в себя PESTEL-анализ и методику 5 сил Портера. Анализ внутренней среды включает в себя SNW-метод. По итогам используется SWOT-8, определяются перспективные стратегии предприятия. Создаётся проект в рамках избранной стратегии и оценивается его экономическая эффективность.
Для реализации проекта разработан устав, описание рисков, календарный план внедрения проекта с помощью программного обеспечения Project Expert.
Дата начала реализации проекта 01.01.2021г., срок завершения проекта 31.12.2021г.
"
2020,Разработка стратегии развития ООО XXXX путем строительства гостинничного комплекса на горе Белая,"Компания XXXX – торговая компания, поставляющая современные и инновационные решения в области защиты от износа для Российских предприятий горно-обогатительной отрасли. 
За время работы компания сформировала значительные компетенции в области разработки отраслевых решений, а также управления продажами. 
Сейчас основной доход компания получает от продаж запасных частей рудо-размольных мельниц российских и иранских производств, а также продаж специального оборудования производителей из Австралии и Японии. Это делает положение компании сильно зависящим от действий партнеров, что увеличивает риски на дальнесрочной перспективе. 
Автор проекта Вшивков Н.Ю. является заместителем директора по продажам компании. Основной его задачей является поиск новых клиентов и развитие партнерских отношений компании, где наиболее ярко проявятся две ключевые компетенции компании:
a)        Умение системно и эффективно управлять отделом продаж.
b)        Создание и поддержание крепких партнерских отношений.
На сегодняшний день по финансовым показателям за последние три года компания находится на неизменном уровне. Общая годовая выручка компании, независимо от ситуации в мире и РФ, с учетом инфляции постепенно снижается. Руководством компании было принято решение разработать стратегию развития ООО «МГМ-Групп» и первым шагом стала ХХХХ.
В ходе разработки стратегии развития компании Автор использовал следующие инструменты:
1)        PEST анализ – анализ внешней среды.
2)        5 сил Портера – анализ внутренней среды компании.
3)        SNW анализ.
4)        Анализ SWOT-8.
5)        Выбор проекта на основе целей компании.
6)        Оценка портфеля проектов с учетом целей заинтересованных сторон.
7)        Модель Остервальдера.
В результате был выбран проект ХХХХ. 
Описание проекта. Реализация проекта на базе купольных конструкций различных размеров и долей сфер, как комбинированных (главный корпус), так и обособленных (номера различных категорий, бани и беседки различной вместительности и прочие малые архитектурные формы). Сохранение максимального количества деревьев и кустарников на месте строительства для достижения максимального эффекта слияния объекта с природным ландшафтом и дальнейшей работе по подбору и реализации ландшафтных решений с целью предоставления, нашим гостям возможности, почувствовать себя частью природы. Повысить положительное впечатление от пребывания на туристско-рекреационном кластере (далее – ТРК) и сформировать желание вернуться в другое время года за новыми эмоциями и впечатлениями, увлекая за собой новых гостей. Прививать, развивать и разнообразить культуру активного и здорового отдыха. Стараться не следовать примерам и моделям организации проживания, перечня услуг и стандартам, а дополнять своим проектом общее разнообразие ТРК. Не прекращать работу по всем видам улучшений работы объекта, направленных на положительные впечатления гостей, детализация интерьера, экстерьера и ландшафта.
Цели проекта:
a)        Развитие в компании нового направления, не связанного с основной деятельностью.
b)        Формирование новых компетенций в области гостиничного бизнеса.
c)        Формирование дополнительных компетенций в области управления продажами.
d)        Создание базы для последующих инвестиций в проект.

Необходимые ресурсы:
a)        Инвестиции в размере 45 миллионов рублей.
b)        Специалисты в области туризма и сферы услуг.
c)        Специалисты в области маркетинга.

Риски
Потеря земельного участка. Нарушение сроков строительных работ и нарушение сроков набора персонала. Подбор локального персонала. Желания клиентов в дальнейшем пользоваться услугами гостиничного комплекса.  

Критерии эффективности продукта
a)        Уровень продаж.
b)        Значение среднего чека.
c)        Маржинальность продукта.
"
2020,Стратегия развития нового направления диагностических услуг медицинского центра ООО ХХХХ,"В данной работе будет рассмотрен план внедрения новой медицинской услуги для населения, обслуживаемого медицинским центром ООО ХХХХ в г. Кушве. Организация занимается оказанием медицинских услуг в рамках лицензии с 2014 года. В перечень услуг входит: лабораторная диагностика,  все виды УЗИ обследования, функциональная диагностика (Холтер, ЭКГ, спирография), консультации узких специалистов. В проектном разделе данной работы будет разработан бизнес – план. Цель – разработать план для обеспечения обьема выручки, который позволит организации выйти на стабильный рынок по прибыли, и иметь возможность инвестировать средства в дальнейшее развитие и приобретение оборудования; выход на новый рынок услуг. Укрепление позиции организации на территории Свердловской области. Поддержку имиджа организации как надежного поставщика медицинских услуг населению."
2020,Разработка программы повышения производительности труда АО XXXX,"АО ХХХХ- одно из крупнейших на Среднем Урале предприятий молочной промышленности, которое ведет свою историю с 1925 года. Сегодня завод — это мощный производственно-социальный комплекс с объемом переработки молока более 170 000 тонн молока в год, включающий головное предприятие и 9 филиалов. Количество работающих 1250 человек. АО ХХХХ - государственное предприятие, 100% акций которого принадлежит Правительству Свердловской области. Основной вид деятельности АО ХХХХ - переработка сельскохозяйственного сырья (молока), производство и реализация молочной продукции. В линейке товара свыше 75 наименований молочной продукции, реализуемой в более 1800 торговых предприятиях Свердловской, Курганской, Тюменской, Челябинской областей, ХМАО, ЯНАО. Продукция АО ХХХХ — это молоко различной жирности и срока хранения, творожные изделия, сметана, масло, сыры, сгущенные консервы, кисломолочная продукция, мороженое, сухие молочные продукты. Существующие производственные мощности позволяют производить основные виды продукции, однако цель предприятия – удовлетворение потребностей покупателей в полной мере.
АО ХХХХ является участником национального проекта ХХХХ. Повышение производительности труда – это государственная задача. Участие в национальном проекте ХХХХ - это вклад предприятия в достижение национальных целей и стратегических задач страны. АО ХХХХ, являясь участником национального проекта ХХХХ, предусматривает целевые показатели по росту производительности труда не менее 10%, 15% и 30% в первый-третий годы по сравнению с базовым годом. Перед предприятием стоит задача выполнить установленные целевые показатели. Для этого необходимо разработать программу повышения производительности труда с дальнейшей её реализацией. 
В настоящий момент автор проекта, являясь начальником планово-экономического отдела и ответственным лицом за исполнение Соглашения между Правительством Свердловской области и АО ХХХХ о взаимодействии при реализации мероприятий национального проекта ХХХХ, ставлю перед собой ряд профессиональных задач. Это выявление резервов роста производительности труда, определение наиболее эффективных инструментов повышения производительности труда, вовлечение работников предприятия в процесс повышения производительности труда, совместно с командой проекта разработка и реализация стратегического плана развития АО ХХХХ, направленного на повышение производительности труда. Организация работы в данном перспективном направлении – одна из моих основных целей.
Национальный проект ХХХХ в первую очередь направлен на достижение повышения производительности труда не связанного с ростом инвестиций, а связанного с поиском внутренних резервов предприятий, повышением их эффективности.
В рамках данной работы решается задача по разработке программы повышения производительности труда на предприятии с целью повышения эффективности работы предприятия без существенных инвестиционных вложений, а именно за счет улучшения бизнес-процессов предприятия и системы управления.
   При выборе и дальнейшей реализации стратегии предприятия в работе применены такие инструменты стратегического планирования, как PEST-анализ, 5 сил Портера, SNW – анализ, SWOT – анализ и SWOT-8, построение карты проблемного поля. 
Реализация стратегии решения проблем на основе разработки и внедрения программы повышения производительности труда позволит пересмотреть систему управления и значительно повысить ее эффективность, вовлечь персонал в систему постоянных улучшений, повышать производительность труда. 
"
