,Название,Описание проекта,Результат/Цель ,full
0,Система биометрической идентификации по лицу интегрированная с графовой базой данныъ,"Система позволяет не только регистрировать субъектов и осуществлять их идентификацию, но и проводить поиск с использованием аппарата сетевых графов для выявления связи между субъектами (кто, с кем и как часто ходит вместе, с кем его видели и т.п.)",Веб-сервис интегрированный с видеоархивом (развертывание в локальной сети УрФУ),"Система биометрической идентификации по лицу интегрированная с графовой базой данныъ Система позволяет не только регистрировать субъектов и осуществлять их идентификацию, но и проводить поиск с использованием аппарата сетевых графов для выявления связи между субъектами (кто, с кем и как часто ходит вместе, с кем его видели и т.п.) Веб-сервис интегрированный с видеоархивом (развертывание в локальной сети УрФУ)"
1,Система биометрической идентификации с поддержкой интеллектуального поиска по видеоврхиву,"Система должна позволять искать в видеоархиве задавая такие условия как:
   Эталонное изображение человека
 
 Пол
 
 Возраст
 
 Типы объектов в кадре
 
 Цвет объектов",Веб-сервис интегрированный с видеоархивом (развертывание в локальной сети УрФУ),"Система биометрической идентификации с поддержкой интеллектуального поиска по видеоврхиву Система должна позволять искать в видеоархиве задавая такие условия как:
   Эталонное изображение человека
 
 Пол
 
 Возраст
 
 Типы объектов в кадре
 
 Цвет объектов Веб-сервис интегрированный с видеоархивом (развертывание в локальной сети УрФУ)"
2,Система автоматической классификации жанра игры или фильма по ее саундтреку,Система должна классифицировать жанр игры или фильма при загрузке через-веб интерфейс ее саундтрека (или его части),Веб-сервис,Система автоматической классификации жанра игры или фильма по ее саундтреку Система должна классифицировать жанр игры или фильма при загрузке через-веб интерфейс ее саундтрека (или его части) Веб-сервис
3,Система предсказания курсовой стоимости акций и генерации торговых сигналов на основе анализа технических индикаторов,Система должна определить сигналы buy/hold/sell для акций и/или криптовалют на основе анализа технических индикаторов их стоимости,Веб-сервис с API и граф. интерфейсом,Система предсказания курсовой стоимости акций и генерации торговых сигналов на основе анализа технических индикаторов Система должна определить сигналы buy/hold/sell для акций и/или криптовалют на основе анализа технических индикаторов их стоимости Веб-сервис с API и граф. интерфейсом
4,Система генерации текстов песен в жанре “рэп”,"Система должна генерировать тексты песен в жанре рэп (в идеале, в стиле указанного исполнителя).",Веб-сервис с граф. интерфейсом,"Система генерации текстов песен в жанре “рэп” Система должна генерировать тексты песен в жанре рэп (в идеале, в стиле указанного исполнителя). Веб-сервис с граф. интерфейсом"
5,SEO-продвижение сайта,"Реализовать полное SEO-продвижение сайта (полный набор бесплатных мероприятий по продвижению), включая составление семантического ядра и кластеров запросов, распределение кластеров запросов по структуре сайта, подбора и написания контента, изменение шаблона сайта и структуры страницы, система навигации – HTML, CSS, JavaScript, генерация карты сайта (sitemap.xml) и файла robot.txt, публикация материалов 
 + внешнее продвижение сайта (поиск площадок и размещение ссылок) и анализ поведенческих факторов*.",Продвижение по низкочастотным и среднечастотным запросам семантического ядра,"SEO-продвижение сайта Реализовать полное SEO-продвижение сайта (полный набор бесплатных мероприятий по продвижению), включая составление семантического ядра и кластеров запросов, распределение кластеров запросов по структуре сайта, подбора и написания контента, изменение шаблона сайта и структуры страницы, система навигации – HTML, CSS, JavaScript, генерация карты сайта (sitemap.xml) и файла robot.txt, публикация материалов 
 + внешнее продвижение сайта (поиск площадок и размещение ссылок) и анализ поведенческих факторов*. Продвижение по низкочастотным и среднечастотным запросам семантического ядра"
6,SMM продвижение группы в социальной сети,"Реализовать комплексное продвижение группы в ВКонтакте, включая составление SMM-стратегии, графическое оформление групп, написание и реализация чек-листа создания сообщества, создание контент-стратегии, управление репутацией в социальных сетях, конкурсы в социальных сетях.",Раскрутка группы в ВКонтакте до 300 участников.,"SMM продвижение группы в социальной сети Реализовать комплексное продвижение группы в ВКонтакте, включая составление SMM-стратегии, графическое оформление групп, написание и реализация чек-листа создания сообщества, создание контент-стратегии, управление репутацией в социальных сетях, конкурсы в социальных сетях. Раскрутка группы в ВКонтакте до 300 участников."
7,Оптимизация контекстной рекламы,"Оптимизация рекламной кампании в системах Яндекс.Директ и Google.Ads включая текстовые, графические и видеоформаты рекламы подбор и настройку ключевых слов и минус-слов, технологии ретаргетинга и подбора аудитории по параметрам за счет сравнения эффективности показа рекламы за различные периоды с различными настройками.",Оптимизированная рекламная кампания в системах Яндекс.Директ и Google.Ads.,"Оптимизация контекстной рекламы Оптимизация рекламной кампании в системах Яндекс.Директ и Google.Ads включая текстовые, графические и видеоформаты рекламы подбор и настройку ключевых слов и минус-слов, технологии ретаргетинга и подбора аудитории по параметрам за счет сравнения эффективности показа рекламы за различные периоды с различными настройками. Оптимизированная рекламная кампания в системах Яндекс.Директ и Google.Ads."
8,Интерактивная карта Торгового центра,"3D-Интерактивная карта Торгового центра с веб-интерфейсом возможностью переключения этажей ТЦ, переключением масштаба и вывода дополнительной информации по магазинам ТЦ.",Веб-сервис с граф. интерфейсом,"Интерактивная карта Торгового центра 3D-Интерактивная карта Торгового центра с веб-интерфейсом возможностью переключения этажей ТЦ, переключением масштаба и вывода дополнительной информации по магазинам ТЦ. Веб-сервис с граф. интерфейсом"
9,Система прогнозирования поступления в УрФУ (ИРИТ-РтФ) проходных баллов ЕГЭ по динамике предыдущих периодов,"Система должна строить графики проходного балла за предыдущие 2 года по всем направлениям ИРИТ-РтФ с учетом количества бюджетных мест, а также показывать приблизительный прогноз проходного балла по указанному количеству бюджетных мест.",Веб-сервис с граф. интерфейсом,"Система прогнозирования поступления в УрФУ (ИРИТ-РтФ) проходных баллов ЕГЭ по динамике предыдущих периодов Система должна строить графики проходного балла за предыдущие 2 года по всем направлениям ИРИТ-РтФ с учетом количества бюджетных мест, а также показывать приблизительный прогноз проходного балла по указанному количеству бюджетных мест. Веб-сервис с граф. интерфейсом"
